",Density of physicians x             (per 1000 population) ,Density of nursing and midwifery personnel x                 (per 1000 population) ,Density of dentistry personnel x                     (per 1000 population) ,Density of pharmaceutical personnel x (per 1000 population) ,Average of 13 International Health Regulations core capacity scores y,"Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) d,z (%)",Prevalence of stunting in children under 5 aa (%),Prevalence of wasting in children under 5 aa (%),Prevalence of overweight in children under 5 aa (%),Proportion of population using safely managed drinking-water services ab (%),Proportion of population using safely  managed sanitation services ab (%),Proportion of population with primary reliance on clean fuels t (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areas t  (µg/m3),"Average death rate due to natural disasters c,m,ac (per 100 000 population)","Mortality rate due to homicide c,m (per 100 000 population)","Estimated direct deaths from major conflicts c,m,ac,ad (per 100 000 population)","Completeness of cause-of-death data c,m,ae (%)"
,2016,2016,2016,2015,2015,2015,2007–2017,2016,2016,2016,2016,2016,2015,2016,2016,2016,2016,2013,2007–2017,2007–2016,2015,2007-2015,2007-2015,2016,2016,2016,2016_male,2016_female,2016,2016,2016,2016,2007–2016,2007–2016,2007–2016,2007–2016,2010–2017,2015,2007-2016,2007-2016,2007-2016,2015,2015,2016,2016,2012-2016,2016,2012-2016,2007-2016
Barbados,285,75.6,67.0,1160,7.5,27,99,12.3,7.9,0.58,1.2,-,0.34,1433,16.2,0.8,9.6,6.7,70.0,49.7,79,-,-,31.1,0.2,0.2,14.5,1.9,97,87,96,-,-,-,-,-,92,7.4,7.7,6.8,12.2,-,-,>95,22.4,0.0,10.0,0.0,78
Belarus,9480,74.2,65.5,352,6.1,4,100,3.9,1.5,-,52,-,0.20,0,23.7,26.2,11.2,13.7,74.2,20.4,74,4.4,0.1,60.7,<0.1,2.6,46.1,10.5,98,98,-,0.60,4.1,11.4,0.6,0.3,90,8.5,-,-,-,94,76,>95,19.3,0.0,5.2,<0.1,100
Belgium,11358,81.2,71.6,4228,10.5,7,-,3.9,2.2,-,10,-,0.18,20,11.4,20.7,12.1,6.7,-,6.6,?80,11.4,1.4,15.7,0.3,0.2,31.4,25.1,98,85,94,-,3.0,11.1,0.7,1.2,83,16.0,-,-,-,98,97,>95,13.0,<0.1,1.0,<0.1,100
Belize,367,70.5,62.5,301,6.2,28,97,14.9,10.3,0.75,38,<0.1,1.49,7312,22.1,4.7,6.7,24.4,65.9,74.0,61,-,-,68.6,1.0,0.5,-,-,95,96,-,8.41,0.8,1.8,0.0,0.4,55,11.1,15.0,1.8,7.3,-,-,85,20.9,0.0,29.4,0.0,86
Benin,10872,61.1,53.5,31,4.0,405,77,97.6,31.4,0.34,59,297.3,5.55,6938376,19.6,9.9,3.0,27.7,24.5,94.0,41,-,-,205.0,59.7,3.5,12.3,0.6,82,-,75,4.39,0.2,0.6,0.0,0.0,30,3.4,34.0,4.5,1.7,-,-,6,30.4,<0.1,6.4,0.0,-
Bhutan,798,70.6,60.7,91,3.5,148,89,32.4,18.1,-,178,<0.1,0.81,241761,23.3,11.4,0.6,15.1,84.6,28.4,59,-,-,124.5,4.0,0.6,-,-,98,90,-,2.57,0.4,1.5,0.1,0.0,73,9.1,33.6,5.9,7.6,34,-,52,35.4,0.0,1.7,0.0,-
Bolivia (Plurinational State of),10888,71.5,63.0,197,6.4,206,90,36.9,19.0,0.10,114,2.7,0.20,1879813,17.2,12.2,4.8,23.2,42.8,71.0,60,-,-,63.7,5.6,2.0,67.3,10.5,99,-,97,1.69,0.5,1.0,0.1,0.1,76,9.8,16.1,2.0,10.1,-,19,80,23.3,0.4,14.1,0.0,-
Bosnia and Herzegovina,3517,77.3,67.2,431,9.4,11,100,6.0,4.7,-,32,-,0.30,0,17.8,8.8,6.4,17.7,21.9,10.7,57,8.6,1.3,79.8,<0.1,0.5,47.7,30.2,78,78,-,9.93,1.9,5.9,0.2,0.1,58,14.9,8.9,2.3,17.4,89,23,63,29.7,0.1,3.3,<0.1,93
Botswana,2250,66.1,57.5,389,6.0,129,100,40.6,25.5,5.52,326,2.4,0.19,261950,20.3,9.3,8.4,23.6,-,37.5,60,-,-,101.3,11.8,1.1,34.4,5.7,95,74,95,2.36,0.4,2.7,0.1,0.2,42,8.8,31.4,7.2,11.2,-,-,64,20.9,0.1,11.4,0.0,-
Brazil,207653,75.1,66.0,780,8.9,44,99,15.1,7.8,0.24,42,6.7,0.07,10461013,16.6,6.5,7.8,23.4,89.3,60.8,77,25.6,3.5,29.9,1.0,0.2,17.9,10.1,86,72,94,0.03,1.9,7.4,1.2,0.7,96,7.7,7.1,1.6,7.3,-,39,>95,11.8,<0.1,31.3,0.3,97
Brunei Darussalam,423,76.4,67.9,812,2.6,23,100,9.9,4.4,-,66,-,0.34,9240,16.6,4.6,0.4,8.0,-,11.4,?80,-,-,13.3,<0.1,0.3,30.9,2.0,99,97,-,-,1.7,6.5,0.4,0.2,67,6.4,19.7,2.9,8.3,-,-,>95,5.8,0.0,2.0,0.0,97
Bulgaria,7131,74.8,66.4,572,8.2,11,100,7.6,3.8,0.03,27,-,0.31,272,23.6,11.5,12.7,8.3,-,39.4,64,12.8,0.8,61.8,0.1,0.6,44.4,30.1,92,88,90,-,4.0,5.3,1.0,-,69,10.3,-,-,-,97,74,89,20.8,<0.1,1.7,<0.1,100
Burkina Faso,18646,60.3,52.9,33,5.4,371,80,84.6,25.6,0.19,51,423.3,4.29,12492287,21.7,7.7,8.2,30.0,45.0,122.0,39,3.5,0.6,206.2,49.6,3.0,23.9,1.6,91,50,91,9.15,0.0,0.6,0.0,0.0,45,7.2,27.3,7.6,1.2,-,-,9,36.3,<0.1,9.8,0.2,-
Burundi,10524,60.1,52.6,24,8.2,712,85,71.7,24.2,0.20,118,156.2,2.59,5898120,22.9,9.1,7.5,31.3,39.3,58.0,43,-,-,179.9,65.4,5.2,-,-,94,72,94,9.57,-,-,-,0.0,25,11.8,55.9,5.1,1.4,-,-,<5,35.6,0.2,6.6,1.5,-
Cabo Verde,540,73.2,64.5,146,4.8,42,91,21.4,10.2,0.31,137,0.7,0.71,145562,17.2,11.3,5.7,26.1,-,80.0,62,2.0,0.0,99.5,4.1,0.5,16.5,2.1,96,95,-,0.92,0.8,1.3,0.0,0.0,65,10.8,-,-,-,-,-,71,31.6,0.0,8.2,0.0,92
Cambodia,15762,69.4,60.8,70,6.0,161,89,30.6,16.2,0.04,345,8.9,0.56,4771389,21.1,5.3,6.7,17.4,56.4,57.0,55,-,-,149.8,6.5,0.6,33.7,2.0,90,58,87,3.01,0.1,1.0,0.0,0.0,81,6.1,32.4,9.6,2.0,24,-,18,24.9,0.3,2.2,0.0,-
