",Skilled health professionals density t (per 10 000 population) ,Average of 13 International Health Regulations core capacity scores u,General Government Health Expenditure as % of General government expenditure v ,Prevalence of stunting in children under 5 w (%),Prevalence of wasting in children under 5 w (%),Prevalence of overweight in children under 5 w (%),Proportion of population using improved drinking-water sources x (%),Proportion of population using improved sanitation x (%),Proportion of population with primary reliance on clean fuels y (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areas z  (µg/m3),Average death rate due to natural disasters k (per 100 000 population),Mortality rate due to homicide k (per 100 000 population),"Estimated direct deaths from major conflicts k,aa (per 100 000 population)",Completeness of cause-of-death data ab (%)
,2015,2015,2015,2015,2005–2016,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2013,2005–2015,2005–2014,2012,2012,2015,2015_male,2015_female,2015,2014,2005–2015,2010–2016,2014,2005-2016,2005-2016,2005-2016,2015,2015,2014,2014,2011-2015,2015,2011-2015,2005-2015
Burkina Faso,18106,59.9,52.6,371,66,88.6,26.7,0.45,52,389.2,91,11658638,23.0,9.2,7.6,30.0,37.1,130.0,96.5,40.9,3.1,36.0,4.5,91,4.88,6.8,50,11.2,27.3,7.6,1.2,82,20,7,36.8,<0.1,9.8,<0.1,–
Burundi,11179,59.6,52.2,712,60,81.7,28.6,0.18,122,126.3,94,5601304,21.6,8.0,6.9,31.3,32.6,85.0,106.5,68.4,5.6,–,–,94,4.27,–,62,13.2,57.5,6.1,2.9,76,48,<5,48.9,0.2,6.2,0.1,–
Cabo Verde,521,73.3,64.4,42,92,24.5,12.2,0.60,139,0.2,93,136792,16.1,8.5,8.2,26.1,73.2,–,56.1,4.5,0.5,22.2,3.5,93,3.81,8.7,62,11.7,–,–,–,92,72,71,–,0.0,5.9,0.0,95
Cambodia,15578,68.7,58.9,161,89,28.7,14.8,0.08,380,13.0,89,5610240,23.3,11.9,5.3,17.4,56.4,57.0,71.4,5.6,0.9,44.1,2.8,89,4.27,11.2,55,6.1,32.4,9.6,2.0,76,42,13,25.0,0.7,2.2,<0.1,–
Cameroon,23344,57.3,50.3,596,65,87.9,25.7,3.57,212,264.2,84,20630132,22.4,11.9,9.9,27.6,40.2,119.0,91.8,40.9,3.1,43.8,0.9,84,3.23,6.0,54,4.3,31.7,5.2,6.7,76,46,18,63.6,<0.1,11.5,1.2,–
Canada,35940,82.2,72.3,7,98,4.9,3.2,–,5.1,–,55,0,9.8,12.3,10.0,6.0,–,12.6,5.4,0.6,0.6,17.7,12.2,91,–,119.5,100,18.8,–,–,–,100,100,>95,7.2,0.1,1.8,<0.1,100
Central African Republic,4900,52.5,45.9,882,40,130.1,42.6,2.40,391,289.5,47,4096089,23.6,17.4,3.8,32.4,28.7,229.0,97.0,102.3,4.9,–,–,47,8.43,3.0,29,14.2,40.7,7.1,1.8,69,22,<5,55.9,0.0,13.1,25.6,–
Chad,14037,53.1,46.1,856,20,138.7,39.3,1.02,152,163.2,55,10688191,23.0,8.7,5.2,24.1,17.5,203.4,124.2,92.8,5.0,–,–,55,3.51,3.5,40,9.0,39.9,13.0,2.5,51,12,<5,61.3,<0.1,9.0,0.1,–
Chile,17948,80.5,70.4,22,100,8.1,4.9,0.19,16,–,97,7,11.5,9.9,9.0,12.4,–,51.5,19.3,0.2,0.3,40.0,36.0,96,0.03,11.8,79,15.9,1.8,0.3,9.3,99,99,>95,25.0,0.1,4.6,<0.1,99
China,1383925,76.1,68.5,27,100,10.7,5.5,–,67,<0.1,99,26100630,18.1,10.0,7.8,18.8,–,6.2,161.1,0.4,1.6,47.6,1.8,99,0.06,31.5,98,10.4,9.4,2.3,6.6,96,77,57,59.5,0.1,0.9,<0.1,62
Colombia,48229,74.8,65.1,64,99,15.9,8.5,0.39,31,12.3,91,3846506,14.6,6.1,5.2,16.8,83.7,84.0,22.0,0.8,0.3,16.0,6.2,91,0.20,22.2,89,18.1,12.7,0.9,4.8,91,81,91,18.1,0.3,48.8,0.8,83
Comoros,788,63.5,55.9,335,82,73.5,34.0,–,35,5.0,80,525978,22.6,7.4,0.2,28.0,27.8,70.0,73.5,28.6,3.7,23.1,6.0,80,6.03,–,29,8.7,32.1,11.1,10.9,90,36,7,16.0,0.1,7.6,0.0,–
Congo,4620,64.7,56.6,442,94,45.0,18.0,–,379,173.3,80,1346327,17.8,9.6,7.9,26.4,38.5,147.0,93.2,48.1,1.8,43.2,1.7,80,1.38,10.5,44,8.7,21.2,8.2,5.9,77,15,18,56.9,0.1,10.1,0.0,–
Cook Islands,21,–,–,–,100,8.1,4.4,–,7.8,–,99,765,–,–,5.1,24.2,–,56.0,–,–,–,–,–,99,2.90,69.5,56,6.1,–,–,–,100,98,80,–,–,–,–,100
Costa Rica,4808,79.6,69.7,25,99,9.7,6.2,0.24,11,0.0,92,11684,11.1,7.7,4.1,13.9,89.1,61.2,16.9,0.7,0.4,18.5,8.3,92,0.09,19.5,86,23.3,5.6,1.0,8.1,98,95,>95,19.1,0.1,9.2,0.0,90
Côte d'Ivoire,22702,53.3,47.0,645,59,92.6,37.9,1.88,159,348.8,83,18738388,28.4,18.1,5.2,24.2,30.9,125.0,90.7,44.1,4.0,–,–,83,3.64,6.2,78,7.3,29.6,7.6,3.2,82,23,18,19.2,<0.1,11.8,0.5,–
Croatia,4240,78.0,69.4,8,100,4.3,2.6,–,13,–,94,11,17.1,17.5,13.6,9.2,–,11.8,79.9,<0.1,0.3,39.4,33.5,94,–,92.7,71,14.0,–,–,–,100,97,94,20.3,0.1,1.0,0.0,100
Cuba,11390,79.1,69.2,39,99,5.5,2.3,0.48,7.0,–,96,43862,16.4,14.0,5.4,7.5,88.4,52.5,66.0,0.7,0.4,52.7,17.8,99,0.29,155.0,99,18.0,–,–,–,95,93,87,16.5,0.2,4.9,0.0,99
Cyprus,1165,80.5,71.3,7,97,2.7,1.5,–,6.2,–,97,2,11.5,4.7,9.3,5.2,–,4.2,19.8,0.3,0.3,–,–,97,–,64.0,93,7.6,–,–,–,100,100,>95,17.2,0.0,2.2,0.0,68
Czechia,10543,78.8,69.4,4,100,3.4,1.8,–,5.2,–,97,3,15.6,13.7,13.7,6.1,85.7,11.1,58.0,0.5,0.5,37.4,29.0,99,–,120.0,91,14.9,–,–,–,100,99,>95,20.7,0.2,0.9,<0.1,100
Democratic People's Republic of Korea,25155,70.6,64.0,82,100,24.9,13.5,–,561,1.0,96,6082191,26.5,15.8,3.9,20.8,76.7,0.7,238.4,1.4,2.3,–,–,96,1.13,68.7,73,–,27.9,4.0,0.0,100,82,7,31.4,0.2,4.4,0.0,–
Democratic Republic of the Congo,77267,59.8,51.7,693,80,98.3,30.1,0.34,324,246.0,81,52564709,20.3,9.8,3.0,33.2,15.6,138.0,118.5,107.8,3.6,–,–,81,6.18,10.5,71,11.1,42.6,8.1,4.4,52,29,6,60.7,<0.1,13.4,1.8,–
Denmark,5669,80.6,71.2,6,98,3.5,2.5,–,6.0,–,–,0,11.6,12.2,10.1,3.5,–,2.4,20.3,0.8,0.4,17.6,16.4,93,–,204.6,89,16.8,–,–,–,100,100,>95,10.5,<0.1,1.1,<0.1,100
Djibouti,888,63.5,55.8,229,87,65.3,33.4,1.09,378,25.4,84,108810,19.4,8.6,0.4,24.7,–,20.6,81.8,26.4,3.0,–,–,84,4.87,7.9,46,14.1,33.5,21.5,8.1,90,47,10,46.0,0.0,6.8,0.1,–
Dominica,73,–,–,–,100,21.2,15.6,–,11,–,98,7546,–,–,5.0,15.3,–,47.2,–,–,–,–,–,98,–,–,62,10.5,–,–,–,–,–,92,13.0,–,–,–,100
Dominican Republic,10528,73.9,65.1,92,98,30.9,21.7,0.36,60,0.3,81,989731,18.7,6.8,6.6,29.3,84.1,90.0,26.1,1.9,0.4,18.8,9.4,85,0.58,28.3,71,17.4,7.1,2.4,7.6,85,84,92,17.0,<0.1,30.2,0.0,54
Ecuador,16144,76.2,67.0,64,96,21.6,10.8,0.15,52,0.1,78,1943932,13.1,7.5,5.1,20.1,80.7,–,12.8,1.8,0.8,14.0,3.3,78,0.44,37.5,81,10.2,25.2,2.3,7.5,87,85,>95,13.3,0.2,10.2,<0.1,81
Egypt,91508,70.9,62.2,33,92,24.0,12.8,0.03,15,–,93,1640557,23.5,2.6,0.4,12.8,80.0,56.0,50.9,1.6,0.5,49.9,0.3,93,0.08,22.5,94,5.6,22.3,9.5,15.7,99,95,>95,100.6,0.0,5.0,0.4,95
El Salvador,6127,73.5,64.1,54,98,16.8,8.3,0.15,43,<0.1,91,702992,14.2,11.1,3.4,21.1,81.9,72.0,42.7,2.4,0.4,–,–,91,0.45,24.1,94,16.7,13.6,2.1,6.4,94,75,83,37.0,0.1,63.2,0.0,84
Equatorial Guinea,845,58.2,51.2,342,68,94.1,33.1,0.24,172,215.1,16,466357,25.0,22.6,11.6,22.9,20.5,176.0,99.3,57.3,2.9,–,–,16,0.86,–,27,7.0,26.2,3.1,9.7,48,75,22,32.0,0.0,3.2,0.0,–
Eritrea,5228,64.7,55.9,501,34,46.5,18.4,0.21,65,14.5,95,1441264,25.4,6.7,1.2,24.1,19.6,76.0,84.9,34.9,3.6,–,–,95,3.10,–,49,3.6,50.3,15.3,1.9,58,16,14,35.7,0.0,7.5,0.1,–
Estonia,1313,77.6,68.9,9,99,2.9,1.5,–,18,–,91,0,17.2,18.9,12.8,7.0,–,15.6,47.0,<0.1,0.9,41.2,24.9,93,–,92.9,71,13.5,–,–,–,100,97,92,8.4,0.0,4.4,<0.1,100
